Tarih;Sepet İçeriği;Toplam Bakiye
2019-03-18;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;10000.0
2019-03-19;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;10005.494203615188
2019-03-20;İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(916) : 0.12228  ,  TACİRLER PORTFÖY DEĞIŞKEN FON(922) : 0.87772  ,  ;10010.985390260621
2019-03-21;İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(916) : 0.03267  ,  TACİRLER PORTFÖY DEĞIŞKEN FON(922) : 0.96733  ,  ;9957.114903434676
2019-03-22;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;9945.332880271237
2019-03-25;AK PORTFÖY GELİŞEN ÜLKELER YABANCI HİSSE SENEDİ FONU(518) : 0.221  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.779  ,  ;9960.68375746422
2019-03-26;AK PORTFÖY GELİŞEN ÜLKELER YABANCI HİSSE SENEDİ FONU(518) : 0.09622  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.90378  ,  ;9959.365747517078
2019-03-27;FİBA PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)(637) : 0.25  ,  MARMARA CAPITAL PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(834) : 0.07  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.67  ,  ;9791.051776386077
2019-03-28;İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(939) : 0.08493  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.91507  ,  ;9263.631160281218
2019-03-29;AK PORTFÖY GELİŞEN ÜLKELER YABANCI HİSSE SENEDİ FONU(518) : 0.23  ,  İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(916) : 0.05  ,  İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(939) : 0.07  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.63  ,  ;9501.095285962756
2019-04-01;KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)(832) : 0.14934  ,  İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(916) : 0.12909  ,  İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(939) : 0.04307  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.67851  ,  ;9618.81360888159
2019-04-02;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;9697.424409700188
2019-04-03;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.99  ,  ;9702.331983722763
2019-04-04;AK PORTFÖY GELİŞEN ÜLKELER YABANCI HİSSE SENEDİ FONU(518) : 0.21244  ,  İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(939) : 0.56642  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.22114  ,  ;9707.727667176
2019-04-05;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;9878.007055413642
2019-04-08;İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(916) : 0.34088  ,  TACİRLER PORTFÖY DEĞIŞKEN FON(922) : 0.65912  ,  ;9893.251787814143
2019-04-09;İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(916) : 0.33945  ,  TACİRLER PORTFÖY DEĞIŞKEN FON(922) : 0.66055  ,  ;9731.152849806957
2019-04-10;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;9816.788085496497
2019-04-11;AK PORTFÖY GELİŞEN ÜLKELER YABANCI HİSSE SENEDİ FONU(518) : 0.03011  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.96989  ,  ;9821.675936471353
2019-04-12;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.99  ,  ;9604.42800504274
2019-04-15;İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 1.0  ,  ;9618.93074499174
2019-04-16;AK PORTFÖY GELİŞEN ÜLKELER YABANCI HİSSE SENEDİ FONU(518) : 0.04964  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.95036  ,  ;9602.297024341819
2019-04-17;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;9741.091175962873
2019-04-18;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;9743.256146735768
2019-04-19;İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(916) : 0.0312  ,  TACİRLER PORTFÖY DEĞIŞKEN FON(922) : 0.9688  ,  ;9748.667402147023
2019-04-22;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;9717.010794724529
2019-04-24;AK PORTFÖY GELİŞEN ÜLKELER YABANCI HİSSE SENEDİ FONU(518) : 0.10189  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.89811  ,  ;9726.745786612037
2019-04-25;AK PORTFÖY GELİŞEN ÜLKELER YABANCI HİSSE SENEDİ FONU(518) : 0.6919  ,  İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(964) : 0.3081  ,  ;9762.7914355527
